==============================
MAPK@3 SCORE: 0.2390765095939903
pickup truck MAPK@3: 0.2772108843537415 common guesses: [('pickup truck', 73), ('car', 41), ('truck', 35)]
baseball bat MAPK@3: 0.2768817204301075 common guesses: [('baseball bat', 62), ('string bean', 34), ('asparagus', 30)]
school bus MAPK@3: 0.2768670309653916 common guesses: [('school bus', 71), ('bus', 69), ('keyboard', 37)]
flower MAPK@3: 0.27496159754224264 common guesses: [('flower', 91), ('microphone', 65), ('lollipop', 52)]
paint can MAPK@3: 0.27297297297297296 common guesses: [('paint can', 81), ('bucket', 72), ('calculator', 33)]
rake MAPK@3: 0.27155172413793105 common guesses: [('rake', 100), ('broom', 97), ('golf club', 45)]
hedgehog MAPK@3: 0.26979742173112337 common guesses: [('hedgehog', 61), ('camouflage', 49), ('spreadsheet', 26)]
hand MAPK@3: 0.2682648401826484 common guesses: [('hand', 150), ('strawberry', 72), ('toaster', 47)]
swing set MAPK@3: 0.26722532588454373 common guesses: [('swing set', 67), ('rainbow', 55), ('table', 41)]
shovel MAPK@3: 0.26704545454545453 common guesses: [('shovel', 63), ('broom', 30), ('baseball bat', 29)]
airplane MAPK@3: 0.266812865497076 common guesses: [('airplane', 76), ('bat', 37), ('crocodile', 32)]
hot dog MAPK@3: 0.26556776556776557 common guesses: [('hot dog', 95), ('crocodile', 55), ('trombone', 34)]
anvil MAPK@3: 0.2654320987654321 common guesses: [('anvil', 71), ('underwear', 62), ('t-shirt', 27)]
police car MAPK@3: 0.26495726495726496 common guesses: [('police car', 72), ('car', 62), ('pickup truck', 37)]
fish MAPK@3: 0.263681592039801 common guesses: [('fish', 70), ('keyboard', 48), ('saw', 36)]
mouth MAPK@3: 0.263681592039801 common guesses: [('mouth', 60), ('crocodile', 28), ('hot dog', 24)]
tent MAPK@3: 0.25888324873096447 common guesses: [('tent', 69), ('triangle', 40), ('mountain', 29)]
windmill MAPK@3: 0.2541436464088398 common guesses: [('windmill', 64), ('pineapple', 36), ('house plant', 28)]
crab MAPK@3: 0.2517543859649123 common guesses: [('crab', 61), ('squirrel', 27), ('anvil', 15)]
harp MAPK@3: 0.25116822429906543 common guesses: [('harp', 140), ('blackberry', 60), ('campfire', 57)]
