Computing Distances
Distances Computed
==============================
('MAPK@3 SCORE:', 0.34546075386072739)
('horse', 'MAPK@3:', 0.40636704119850187, 'common guesses:', [('horse', 139), ('cow', 59), ('zebra', 40)])
('purse', 'MAPK@3:', 0.40630630630630626, 'common guesses:', [('purse', 98), ('house', 38), ('birthday cake', 25)])
('rake', 'MAPK@3:', 0.4058908045977011, 'common guesses:', [('rake', 126), ('broom', 119), ('golf club', 34)])
('bracelet', 'MAPK@3:', 0.40502793296089384, 'common guesses:', [('bracelet', 88), ('picture frame', 23), ('cloud', 20)])
('shark', 'MAPK@3:', 0.40476190476190477, 'common guesses:', [('shark', 101), ('submarine', 52), ('speedboat', 26)])
('carrot', 'MAPK@3:', 0.4020100502512563, 'common guesses:', [('carrot', 101), ('asparagus', 41), ('fork', 34)])
('laptop', 'MAPK@3:', 0.40136054421768702, 'common guesses:', [('laptop', 196), ('computer', 112), ('beard', 40)])
('ear', 'MAPK@3:', 0.40036231884057966, 'common guesses:', [('ear', 95), ('peanut', 20), ('light bulb', 19)])
('finger', 'MAPK@3:', 0.39484126984126983, 'common guesses:', [('finger', 126), ('skyscraper', 75), ('lipstick', 69)])
('guitar', 'MAPK@3:', 0.3931860036832413, 'common guesses:', [('guitar', 105), ('violin', 91), ('cello', 58)])
('donut', 'MAPK@3:', 0.39257503949447076, 'common guesses:', [('donut', 109), ('cookie', 70), ('baseball', 58)])
('foot', 'MAPK@3:', 0.38907103825136607, 'common guesses:', [('foot', 163), ('sock', 77), ('hockey stick', 45)])
('compass', 'MAPK@3:', 0.38888888888888884, 'common guesses:', [('compass', 102), ('clock', 84), ('donut', 28)])
('swan', 'MAPK@3:', 0.38888888888888884, 'common guesses:', [('swan', 108), ('saxophone', 64), ('giraffe', 51)])
('soccer ball', 'MAPK@3:', 0.38829787234042551, 'common guesses:', [('basketball', 106), ('soccer ball', 106), ('wheel', 60)])
('toilet', 'MAPK@3:', 0.38461538461538464, 'common guesses:', [('toilet', 101), ('chair', 25), ('saxophone', 20)])
('sheep', 'MAPK@3:', 0.38007054673721347, 'common guesses:', [('sheep', 95), ('camel', 29), ('rhinoceros', 29)])
('axe', 'MAPK@3:', 0.3799283154121863, 'common guesses:', [('axe', 89), ('streetlight', 39), ('mailbox', 33)])
('scorpion', 'MAPK@3:', 0.37817938420348057, 'common guesses:', [('scorpion', 119), ('squirrel', 28), ('truck', 23)])
('frying pan', 'MAPK@3:', 0.37813620071684584, 'common guesses:', [('frying pan', 83), ('camel', 22), ('fish', 22)])
('crown', 'MAPK@3:', 0.37645107794361521, 'common guesses:', [('crown', 92), ('birthday cake', 31), ('hot tub', 30)])
('snorkel', 'MAPK@3:', 0.375, 'common guesses:', [('snorkel', 111), ('hockey stick', 25), ('toilet', 22)])
('parachute', 'MAPK@3:', 0.37434554973821987, 'common guesses:', [('parachute', 98), ('mushroom', 51), ('diamond', 36)])
('banana', 'MAPK@3:', 0.3737373737373737, 'common guesses:', [('banana', 237), ('hockey stick', 152), ('foot', 69)])
('dishwasher', 'MAPK@3:', 0.37254901960784315, 'common guesses:', [('dishwasher', 118), ('square', 56), ('washing machine', 32)])
('nail', 'MAPK@3:', 0.37044817927170864, 'common guesses:', [('nail', 112), ('fork', 62), ('matches', 38)])
('baseball', 'MAPK@3:', 0.36863711001642041, 'common guesses:', [('baseball', 101), ('cookie', 67), ('donut', 58)])
('campfire', 'MAPK@3:', 0.36833333333333335, 'common guesses:', [('campfire', 94), ('fireplace', 22), ('grapes', 22)])
('beard', 'MAPK@3:', 0.36827956989247318, 'common guesses:', [('beard', 114), ('goatee', 69), ('basket', 46)])
('bulldozer', 'MAPK@3:', 0.36654804270462632, 'common guesses:', [('bulldozer', 130), ('train', 34), ('truck', 31)])
('pickup truck', 'MAPK@3:', 0.36649659863945577, 'common guesses:', [('pickup truck', 94), ('car', 46), ('truck', 46)])
('tent', 'MAPK@3:', 0.36379018612521152, 'common guesses:', [('tent', 100), ('triangle', 65), ('mountain', 31)])
('postcard', 'MAPK@3:', 0.36331569664903002, 'common guesses:', [('postcard', 100), ('pillow', 57), ('envelope', 56)])
('saw', 'MAPK@3:', 0.36263736263736263, 'common guesses:', [('saw', 83), ('skateboard', 41), ('crocodile', 27)])
('suitcase', 'MAPK@3:', 0.36228070175438593, 'common guesses:', [('suitcase', 91), ('pillow', 50), ('toaster', 30)])
('peanut', 'MAPK@3:', 0.36052631578947369, 'common guesses:', [('peanut', 95), ('vase', 33), ('ear', 32)])
('submarine', 'MAPK@3:', 0.36007130124777181, 'common guesses:', [('submarine', 91), ('shark', 38), ('cruise ship', 26)])
('toothbrush', 'MAPK@3:', 0.35918003565062384, 'common guesses:', [('toothbrush', 81), ('asparagus', 32), ('beach', 27)])
('camel', 'MAPK@3:', 0.35622710622710618, 'common guesses:', [('camel', 84), ('horse', 21), ('rhinoceros', 21)])
('scissors', 'MAPK@3:', 0.35405405405405405, 'common guesses:', [('scissors', 81), ('The Eiffel Tower', 33), ('pliers', 26)])
('microphone', 'MAPK@3:', 0.35174953959484351, 'common guesses:', [('microphone', 81), ('paintbrush', 31), ('tennis racquet', 31)])
('school bus', 'MAPK@3:', 0.34972677595628415, 'common guesses:', [('school bus', 98), ('bus', 88), ('van', 37)])
('dolphin', 'MAPK@3:', 0.34881602914389798, 'common guesses:', [('dolphin', 81), ('cannon', 18), ('shark', 17)])
('coffee cup', 'MAPK@3:', 0.34848484848484845, 'common guesses:', [('coffee cup', 137), ('mug', 112), ('cup', 77)])
('moustache', 'MAPK@3:', 0.34814814814814815, 'common guesses:', [('moustache', 115), ('ocean', 37), ('dolphin', 20)])
('mermaid', 'MAPK@3:', 0.34809348093480935, 'common guesses:', [('mermaid', 122), ('waterslide', 35), ('microphone', 32)])
('panda', 'MAPK@3:', 0.34795321637426901, 'common guesses:', [('panda', 75), ('raccoon', 31), ('teddy-bear', 25)])
('radio', 'MAPK@3:', 0.34640522875816987, 'common guesses:', [('radio', 93), ('stereo', 44), ('birthday cake', 24)])
('megaphone', 'MAPK@3:', 0.34627831715210361, 'common guesses:', [('megaphone', 93), ('fish', 16), ('truck', 16)])
('potato', 'MAPK@3:', 0.34581646423751689, 'common guesses:', [('potato', 219), ('circle', 124), ('cloud', 83)])
